state,county,year,vbm_policy,dem_share_gov,dem_share_pres,cvap_approx,vap,vbm_share
CA,San Mateo,1998,0,.70580405,,443192.22,538059,.32015103
CA,San Mateo,2002,0,.6596365,,444527.78,539994,.3172597
CA,San Mateo,2006,0,.50158596,,445863.34,534732,.49755388
CA,San Mateo,2010,0,.67835599,,447735,559865,.5208323
CA,San Mateo,2014,0,.75224364,,473285,594685,.67129821
CA,San Mateo,2018,1,.75225377,,498140,611162,.88276482
CA,Sonoma,1998,0,.68891764,,309376.13,333922,.29046884
CA,Sonoma,2002,0,.62735754,,311913.88,353967,.43219766
CA,Sonoma,2006,0,.48674214,,314451.66,358109,.60363281
CA,Sonoma,2010,0,.68220174,,323180,378501,.63443184
CA,Sonoma,2014,0,.74752921,,343330,395927,.76218569
CA,Sonoma,2018,0,.72269917,,356020,401746,.80070508
UT,Box Elder,1996,0,.13093558,.2746253,24781.111,24921,
UT,Box Elder,2000,0,.34008124,.17213501,26670,27419,
UT,Box Elder,2004,0,.30323258,.12470131,28558.889,29380,
UT,Box Elder,2008,0,.091857925,.17859647,30447.777,31859,
UT,Box Elder,2012,0,.14901179,.10395598,32030,33535,
UT,Box Elder,2016,0,.13749464,.15724917,34040,35835,
UT,Iron,1996,0,.11376505,.2236577,19950.555,19547,
UT,Iron,2000,0,.28938097,.15039933,22635,23396,
UT,Iron,2004,0,.29778275,.15031163,25319.445,26173,
UT,Iron,2008,0,.10798122,.20651622,28003.889,31059,
UT,Iron,2012,0,.15837511,.13139223,31200,32877,
UT,Iron,2016,1,.15988426,.17486261,32560,35226,
WA,Kitsap,1996,0,.54839379,.55576247,160425.56,164082,.42860204
WA,Kitsap,2000,0,.58045185,.5200302,165490,170568,.69801891
WA,Kitsap,2004,0,.49325064,.52228445,170554.44,181934,.78106713
WA,Kitsap,2008,1,.50739843,.56285626,175618.89,190197,.99346209
WA,Pierce,1996,0,.55427682,.57516605,458574.44,476138,.59986591
WA,Pierce,2000,0,.56642359,.5386045,487010,512563,.73464185
WA,Pierce,2004,0,.47943863,.51205122,515445.56,546649,.80298221
WA,Pierce,2008,0,.51104397,.56205773,543881.13,587597,.83055443
