"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Statewide Initiative Measure 985 concerns transportation","Yes","","3104","31.19","Statewide"
"Statewide Initiative Measure 985 concerns transportation","No","","6848","68.81","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","Yes","","7742","75.32","Statewide"
"Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions","No","","2537","24.68","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","Yes","","6753","67.94","Statewide"
"Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities","No","","3186","32.06","Statewide"
"United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","7374","70.02","United States"
"United States President/Vice President","John McCain / Sarah Palin","Republican Party Nominees","2958","28.09","United States"
"United States President/Vice President","Ralph Nader / Matt Gonzalez","Independent Candidates","95","0.9","United States"
"United States President/Vice President","Gloria La Riva / Eugene Puryear","Socialism & Liberation Party Nominees","5","0.05","United States"
"United States President/Vice President","James E. Harris / Alyson Kennedy","Socialist Workers Party Nominees","0","0","United States"
"United States President/Vice President","Bob Barr / Wayne A. Root","Libertarian Party Nominees","57","0.54","United States"
"United States President/Vice President","Chuck Baldwin / Darrell L. Castle","Constitution Party Nominees","16","0.15","United States"
"United States President/Vice President","Cynthia McKinney / Rosa Clemente","Green Party Nominees","26","0.25","United States"
"U.S. Congressional District 2 Representative","Rick Larsen","(Prefers Democratic Party)","7308","72.44","U.S. Congressional District 2"
"U.S. Congressional District 2 Representative","Rick Bart","(Prefers Republican Party)","2781","27.56","U.S. Congressional District 2"
"Washington State Governor","Christine Gregoire","(Prefers Democratic Party)","7044","67.73","Washington State"
"Washington State Governor","Dino Rossi","(Prefers G.O.P. Party)","3356","32.27","Washington State"
"Washington State Lt. Governor","Brad Owen","(Prefers Democratic Party)","6863","69","Washington State"
"Washington State Lt. Governor","Marcia McCraw","(Prefers Republican Party)","3084","31","Washington State"
"Washington State Secretary of State","Sam Reed","(Prefers Republican Party)","4750","48.43","Washington State"
"Washington State Secretary of State","Jason Osgood","(Prefers Democratic Party)","5058","51.57","Washington State"
"Washington State State Treasurer","Allan Martin","(Prefers Republican Party)","3820","39.3","Washington State"
"Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","5901","60.7","Washington State"
"Washington State State Auditor","Brian Sonntag","(Prefers Democratic Party)","6851","70.72","Washington State"
"Washington State State Auditor","J. Richard (Dick) McEntee","(Prefers Republican Party)","2836","29.28","Washington State"
"Washington State Attorney General","Rob McKenna","(Prefers Republican Party)","4551","46.56","Washington State"
"Washington State Attorney General","John Ladenburg","(Prefers Democratic Party)","5224","53.44","Washington State"
"Washington State Commissioner of Public Lands","Doug Sutherland","(Prefers Republican Party)","3633","37.29","Washington State"
"Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","6110","62.71","Washington State"
"Washington State Superintendent of Public Instruction","Teresa (Terry) Bergeson","","4575","54.62","Washington State"
"Washington State Superintendent of Public Instruction","Randy Dorn","","3801","45.38","Washington State"
"Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","6632","70.11","Washington State"
"Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","2827","29.89","Washington State"
"Legislative District 40 State Senator","Steve Van Luven","(Prefers Republican Party)","3379","33.85","Legislative District 40"
"Legislative District 40 State Senator","Kevin Ranker","(Prefers Democratic Party)","6602","66.15","Legislative District 40"
"Legislative District 40 State Representative Pos. 1","Dave Quall","(Prefers Democratic Party)","7589","100","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)","6589","75.29","Legislative District 40"
"Legislative District 40 State Representative Pos. 2","Howard Pellett","(Prefers Green  Party)","2162","24.71","Legislative District 40"
"Supreme Court Justice Position 3","Mary Fairhurst","","6356","100","Supreme Court"
"Supreme Court Justice Position 4","Charles W. Johnson","","6402","100","Supreme Court"
"Supreme Court Justice Position 7","Debra L. Stephens","","6299","100","Supreme Court"
"San Juan County County Council Member  1","Lovel Pratt","","990","55.49","San Juan County"
"San Juan County County Council Member  1","Gordy Petersen","","794","44.51","San Juan County"
"San Juan County County Council Member 3","Howard (Howie) Rosenfeld","","559","57.81","San Juan County"
"San Juan County County Council Member 3","Fay Chaffee","","408","42.19","San Juan County"
"San Juan County County Council Member  4","Richard Fralick","","947","53.38","San Juan County"
"San Juan County County Council Member  4","Mindy Kayl","","827","46.62","San Juan County"
"Eastsound Sewer & Water District Eastsound Sewer and Water District Proposition No. 1 Increasing the Size of the Board of Eastsound Sewer and Water District","Yes","","933","75.12","Eastsound Sewer & Water District"
"Eastsound Sewer & Water District Eastsound Sewer and Water District Proposition No. 1 Increasing the Size of the Board of Eastsound Sewer and Water District","No","","309","24.88","Eastsound Sewer & Water District"
"Orcas Village Annex Orcas Village Annexation Proposition No. 1 Annexation of Orcas Village Area to Eastsound Sewer and Water District","For Annexation to District","","25","62.5","Orcas Village Annex"
"Orcas Village Annex Orcas Village Annexation Proposition No. 1 Annexation of Orcas Village Area to Eastsound Sewer and Water District","Against Annexation to District","","15","37.5","Orcas Village Annex"
