"Hagelin &","Buchanan 
Nader & 
Youngkeit & 
Easton & 
Kunzler & 
LaBelle &"
"Goldhaber","& Foster           
LaDuke           
Harris & Trowe           
Beck             
Unknown       
Unknown       
Locke"
"""NL""","""Ref""
""G""
""SW""
""Unafilliated""
""WI""
""WI""
""WI"""
"3","11
38
0
1
0
0
0"
"9","190
326
0
5
0
0
0"
"24","290
1511
11
3
0
0
0"
"5","61
213
0
3
0
0
0"
"0","4
9
0
0
0
0
0"
"66","1000
2891
17
13
0
0
0"
"2","42
76
1
0
0
0
0"
"6","84
81
0
1
0
0
0"
"3","12
43
0
0
0
0
0"
"11","39
540
1
1
0
0
0"
"9","206
341
2
1
0
0
0"
"1","56
60
0
0
0
0
0"
"8","28
102
0
0
0
0
0"
"4","101
73
0
0
0
0
0"
"5","49
80
1
0
0
0
0"
"0","9
10
0
0
0
0
0"
"0","4
10
1
0
0
0
0"
"388","3676
21252
101
85
0
0
0"
"2","42
107
2
0
0
0
0"
"6","142
153
0
2
0
0
0"
"4","76
125
1
2
0
0
0"
"25","93
1156
3
0
0
0
0"
"10","176
387
2
2
0
0
0"
"3","87
132
0
1
0
1
0"
"63","1656
2732
22
22
0
0
0"
"8","66
259
2
0
0
0
0"
"33","400
714
1
5
0
0
0"
"0","7
58
0
1
0
0
0"
"65","712
2371
18
13
0
0
0"
"763","9319
35850
186
161
0
1
0"
"0.001","0.0121
0.0465
0.0002
0.0002
0
0
0"
